"bug.id","treatment","temp","load","mass.T0","died","Timepoint","expct.hour","age","instar","tot.cnsmp","Date","time","fed","mass","mass.gain","log.mg","log.cnsmp"
"20_c_20","control",20,NA,43.74,0,"T24",432,435.2833333,"5",NA,336,13.08333333,1,6223.17,6179.43,8.7289813131883,NA
"20_c_20","control",20,NA,43.74,0,"T25",456,459.95,"5",NA,337,13.75,1,8708.12,8664.38,9.06697564736814,NA
"20_c_20","control",20,NA,43.74,0,"T26",480,484,"5",NA,338,13.8,1,10955.72,10911.98,9.29761654723699,NA
"20_c_20","control",20,NA,43.74,0,"T27",504,508.5833333,"5",NA,339,14.38333333,1,13295.01,13251.27,9.49184867587774,NA
"20_c_20","control",20,NA,43.74,0,"T28",528,532.7,"5",NA,340,14.5,1,14554.01,14510.27,9.58261195356176,NA
"20_c_20","control",20,NA,43.74,0,"T29",552,556.3666667,"w",NA,341,14.16666667,NA,13714.77,13671.03,9.52303427435574,NA
"20_c_21","control",20,NA,50.09,0,"T23",408,408.0666667,"5",598.37267,335,9.916666667,0,893.19,843.1,6.73708557492863,6.39421375382584
"20_c_21","control",20,NA,50.09,0,"T24",432,435.1333333,"5",699.80165,336,12.98333333,1,1278.44,1228.35,7.11342708438431,6.55079693774733
"20_c_21","control",20,NA,50.09,0,"T25",456,460.1833333,"5",760.568770000001,337,14.03333333,1,1484.49,1434.4,7.26850192229092,6.63406653496147
"20_c_21","control",20,NA,50.09,0,"T26",480,484.2833333,"5",947.114200000001,338,14.13333333,1,2148.35,2098.26,7.64886370882791,6.85341967725661
"20_c_21","control",20,NA,50.09,0,"T27",504,508.5166667,"5",1199.59763,339,14.36666667,1,3091.23,3041.14,8.01998772410534,7.08974147121435
"20_c_21","control",20,NA,50.09,0,"T28",528,532.7666667,"5",1607.45245,340,14.61666667,1,4361.8,4311.71,8.36908985615277,7.38240587558096
"20_c_21","control",20,NA,50.09,0,"T29",552,556,"5",2014.63164,341,13.85,1,5483.01,5432.92,8.60023202161337,7.60819164873619
"20_c_21","control",20,NA,50.09,0,"T30",576,578.1333333,"5",2531.32009,342,11.98333333,1,6802.91,6752.82,8.81771547439952,7.83649622034804
"20_c_21","control",20,NA,50.09,0,"T31",600,604.2333333,"5",3115.4128,343,14.08333333,1,8286.77,8236.68,9.01635262909106,8.04411694250575
"20_c_21","control",20,NA,50.09,0,"T32",624,629.4833333,"5",3762.94838,344,15.33333333,1,9643.12,9593.03,9.16879207209337,8.23295807272098
"20_c_21","control",20,NA,50.09,0,"T33",648,652.6666667,"w",NA,345,14.51666667,NA,9138.77,9088.68,9.11478496210542,NA
"20_c_22","control",20,NA,37.91,0,"T22",384,384.3166667,"5",673.39496,334,10.2,0,1362.24,1324.33,7.18866195015364,6.51233202229148
"20_c_22","control",20,NA,37.91,0,"T23",408,408.3,"5",873.943180000001,335,10.18333333,1,2135.76,2097.85,7.64866828973675,6.77301536210055
"20_c_22","control",20,NA,37.91,0,"T24",432,434.9333333,"5",1150.12038,336,12.81666667,1,2983.15,2945.24,7.98794558682295,7.04762189413978
"20_c_22","control",20,NA,37.91,0,"T25",456,459.85,"5",1562.72415,337,13.73333333,1,4357.79,4319.88,8.37098290307457,7.35418582732173
"20_c_22","control",20,NA,37.91,0,"T26",480,484.4,"5",2116.69475,338,14.28333333,1,5995.48,5957.57,8.69241795879896,7.65761107084715
"20_c_22","control",20,NA,37.91,0,"T27",504,508.7166667,"5",2690.5463,339,14.6,1,7670.17,7632.26,8.94013927963381,7.89749953747867
"20_c_22","control",20,NA,37.91,0,"T28",528,532.8666667,"5",3657.54005,340,14.75,1,9945.59,9907.68,9.20106549295406,8.20454608293686
"20_c_22","control",20,NA,37.91,0,"T29",552,556,"5",4489.20781,341,13.88333333,1,11398.19,11360.28,9.33787833985871,8.4094315308715
"20_c_22","control",20,NA,37.91,0,"T30",576,578.3833333,"w",NA,342,12.26666667,NA,12650.39,12612.48,9.44244207893216,NA
"20_c_23","control",20,NA,58.85,0,"T19",312,314.05,"5",624.81198,331,11.95,0,1328.04,1269.19,7.14613418069912,6.43745077247738
"20_c_23","control",20,NA,58.85,0,"T20",336,337.9666667,"5",696.09129,332,11.86666667,1,1567.83,1508.98,7.31918920486955,6.5454808155263
"20_c_23","control",20,NA,58.85,0,"T21",360,360.5666667,"5",944.48014,333,10.46666667,1,2529.48,2470.63,7.81222845782831,6.85063465972208
"20_c_23","control",20,NA,58.85,0,"T22",384,383.9833333,"5",1273.2897,334,9.883333333,1,3681.63,3622.78,8.19499696589375,7.14935914532968
"20_c_23","control",20,NA,58.85,0,"T23",408,408.1166667,"5",1864.59202,335,10.01666667,1,5366.91,5308.06,8.57698169908075,7.53079755211515
"20_c_23","control",20,NA,58.85,0,"T24",432,435.3833333,"5",2091.19871,336,13.28333333,1,5894.15,5835.3,8.67168095728076,7.64549272599907
"20_c_23","control",20,NA,58.85,0,"T25",456,459.7,"5",3161.52061,337,13.6,1,8498.53,8439.68,9.04069967217928,8.05880839653483
"20_c_23","control",20,NA,58.85,0,"T26",480,484.0833333,"5",3924.19755,338,13.98333333,1,9903.57,9844.72,9.19469054983587,8.27491716345473
